REF_SKU;AVAILABLE;PREORDER;PRODUCT_FREE;PRODUCT_SHIP;PRODUCT_VIRTUAL;SKU;MANUFACTURER;PRODUCT_WEIGHT;PRODUCT_ITEM_WEIGHT;PRODUCT_HEIGHT;PRODUCT_LENGTH;PRODUCT_WIDTH;CATEGORY;FREE_SHIPPING;QUANTITY;QUANTITY_ORD_MIN;QUANTITY_ORD_MAX;NAME;DESCRIPTION;PRODUCT_PRICE_AMOUNT;PRODUCT_PRICE_SPECIAL_AMOUNT;PRODUCT_PRICE_SPECIAL_ST_DATE;PRODUCT_PRICE_SPECIAL_END_DATE;META_TAGS;MINIMUM_INCREASE
9604102;false;;;;;9604102;TRAMONTINA (BAZAR, HERRAMIENTAS, ELECTRICIDAD);;;;;;E05;;1;1;100000;TRIPLE BLISTER Tramontina 57400 BLANCO;TRIPLE BLISTER Tramontina 57400 BLANCO;6700;;;;TRIPLE;1
892474;true;;;;;892474;GERMANY;;;;;;N06;;1;1;100000;"CHAIRA MANGO MADERA GERMANY 9""";"<p>-Germany mango madera</p>
<p>-Imantada, rígida</p>";110800;;;;CHAIRA,CHAIRA MANGO DE MADERA,CHAIRA ALEMANA,GERMANY,CHAIRA GERMANY,CHAIRA MANGO MADERA 9;1
845819;true;;;;;845819;DELTA PLUS;;;;;;113;;1;1;100000;CABO VIDA CINTA CABO VIDA CINTA CV-21;"<p><strong>Largo máximo (m) :</strong>&nbsp;1,5 m</p>
<p><strong>Ancho de la cinta (mm) :</strong>&nbsp;45 mm</p>
<p><strong>Largo mínimo (m) :</strong>&nbsp;1 m</p>
<p><strong>Con conector :</strong>&nbsp;Sí</p>
<p><strong>Vida útil desde la fabricación (años) :</strong>&nbsp;10</p>
<p><strong>Tipo de envase :</strong>&nbsp;Caja de 10</p>
<p><strong>Color :</strong> Negro</p>";95500;;;;DELTA PLUS,ESLINGAR,CABO VIDA CINTA,CABO;1
845881;true;;;;;845881;DELTA PLUS;;;;;;113;;1;1;100000;ESLINGA 3TN 75MM x 1MT ESLINGAR;<p>ESLINGA 3TN 75MM x 1MT ESLINGAR</p>;114700;;;;DELTA PLUS,ESLINGAR,ESLINGA;1
892083;false;;;;;892083;GERMANY;;;;;;119;;1;1;100000;PORTA ELECTRODO PESADO GERMANY 500AM;<p>PORTA ELECTRODO PESADO GERMANY 500AM</p>;119800;;;;PORTA ELECTRODO PESADO GERMANY,GERMANY,PORTA ELECTRODO;1
845856;true;;;;;845856;DELTA PLUS;;;;;;113;;1;1;100000;CRIQUET 3TN 50MM X 9MT ESLINGAR;<p>CRIQUET 3TN 50MM X 9MT ESLINGAR</p>;100000;;;;CRIQUET,CRIQUET PARA CARGA,ESLINGAR,CATRACA,DELTA PLUS;1
845814;true;;;;;845814;DELTA PLUS;;;;;;113;;1;1;100000;CABO VIDA ELÁSTICO 1½MT ESLINGAR 1020EA;"<p><strong>Largo máximo (m) :</strong>&nbsp;1,5 m</p>
<p><strong>Ancho de la cinta (mm) :</strong>&nbsp;45 mm</p>
<p><strong>Largo mínimo (m) :</strong>&nbsp;1,2 m</p>
<p><strong>Con conector :</strong>&nbsp;Sí</p>
<p><strong>Conector (lado usuario) :</strong>&nbsp;Mosquetón de acero con abertura de 18 mm</p>
<p><strong>Conector (lado estructura) :</strong>&nbsp;Mosquetón de acero con abertura de 55 mm</p>
<p><strong>Vida útil desde la fabricación (años) :</strong>&nbsp;10</p>
<p><strong>Tipo de envase :</strong>&nbsp;Caja de 5</p>
<p><strong>Color :</strong>&nbsp;Black - Naranja</p>";221000;;;;DELTA PLUS,ESLINGAR,CABO VIDA ELASTICO,CABO;1
845836;true;;;;;845836;DELTA PLUS;;;;;;113;;1;1;100000;SALVA CAIDA SOGA ESLINGAR S4-14;"<p><strong>Tipo de equipamiento :</strong>&nbsp;Deslizador y bloqueador para cuerda trenzada</p>
<p><strong>Lock :</strong>&nbsp;Manual system</p>
<p><strong>Cierre :</strong>&nbsp;Tornillos</p>
<p><strong>Diámetro máximo de la cuerda (mm) :</strong>&nbsp;14</p>
<p><strong>Diámetro máximo de la cuerda (inch) :</strong>&nbsp;0.5502</p>
<p><strong>Con conector :</strong>&nbsp;Sí</p>
<p><strong>Tipo de envase :</strong>&nbsp;Caja de 20</p>
<p><strong>Diámetro mínimo de la cuerda (mm) :</strong>&nbsp;12,7</p>
<p><strong>Diámetro de cuerda mínimo (inch) :</strong>&nbsp;0.4992</p>
<p><strong>Color :</strong> Gris</p>
<p><strong>Uso :</strong>&nbsp;Funciona con cuerda trenzada - Para ascenso y descenso - Para movimiento vertical - Para espacios confinados</p>";428000;;;;SALVA CAIDA SOGA ESLINGAR,ESLINGAR,DELTA PLUS;1
845831;true;;;;;845831;DELTA PLUS;;;;;;113;;1;1;100000;MOSQUETÓN ALUMINIO 1MM ESLINGAR MOS002;"<table class=""w-full text-sm text-gray-900 border-0 border-collapse table-fixed"" id=""specification_sheet"">
<tbody class=""border-0"">
<tr>
<th class=""w-2/5 lg:w-1/4 p-4 text-left border-0 bg-gray-200 rounded-tl-md"">Marca</th>
<td class=""p-4 text-left border-0 bg-gray-100 rounded-tr-md""><a rel=""tag"" href=""https://www.bomberomania.com.ar/marca/delta-plus/"" class=""text-blue-500"">DeltaPlus</a>,&nbsp;<a rel=""tag"" href=""https://www.bomberomania.com.ar/marca/eslingar/"" class=""text-blue-500"">Eslingar</a></td>
</tr>
<tr>
<th class=""w-2/5 lg:w-1/4 p-4 text-left border-0 bg-gray-100"">Modelo</th>
<td class=""p-4 text-left border-0 bg-gray-50"">MOS002</td>
</tr>
<tr>
<th class=""w-2/5 lg:w-1/4 p-4 text-left border-0 bg-gray-200"">Material</th>
<td class=""p-4 text-left border-0 bg-gray-100"">Aluminio</td>
</tr>
<tr>
<th class=""w-2/5 lg:w-1/4 p-4 text-left border-0 bg-gray-100"">Color</th>
<td class=""p-4 text-left border-0 bg-gray-50""><a rel=""tag"" href=""https://www.bomberomania.com.ar/color/gris/"" class=""text-blue-500"">Gris</a></td>
</tr>
<tr>
<th class=""w-2/5 lg:w-1/4 p-4 text-left border-0 bg-gray-200"">Largo</th>
<td class=""p-4 text-left border-0 bg-gray-100"">11 cm</td>
</tr>
<tr>
<th class=""w-2/5 lg:w-1/4 p-4 text-left border-0 bg-gray-100"">Ancho</th>
<td class=""p-4 text-left border-0 bg-gray-50"">6,5 cm</td>
</tr>
<tr>
<th class=""w-2/5 lg:w-1/4 p-4 text-left border-0 bg-gray-200"">Diseño</th>
<td class=""p-4 text-left border-0 bg-gray-100"">Automatico</td>
</tr>
<tr>
<th class=""w-2/5 lg:w-1/4 p-4 text-left border-0 bg-gray-100"">Género</th>
<td class=""p-4 text-left border-0 bg-gray-50"">Unisex</td>
</tr>
<tr>
<th class=""w-2/5 lg:w-1/4 p-4 text-left border-0 bg-gray-200"">Norma</th>
<td class=""p-4 text-left border-0 bg-gray-100""><a rel=""tag"" href=""https://www.bomberomania.com.ar/norma/ce-2777/"" class=""text-blue-500"">CE 2777</a>,&nbsp;<a rel=""tag"" href=""https://www.bomberomania.com.ar/norma/en-3622004-b/"" class=""text-blue-500"">EN 362:2004/B</a>,&nbsp;<a rel=""tag"" href=""https://www.bomberomania.com.ar/norma/nbr-158372010-b/"" class=""text-blue-500"">NBR 15837:2010/B</a></td>
</tr>
<tr>
<th class=""w-2/5 lg:w-1/4 p-4 text-left border-0 bg-gray-100"">Resistencia</th>
<td class=""p-4 text-left border-0 bg-gray-50"">23 kN</td>
</tr>
<tr>
<th class=""w-2/5 lg:w-1/4 p-4 text-left border-0 bg-gray-200 rounded-bl-md"">GTIN / SKU</th>
<td class=""p-4 text-left border-0 bg-gray-100 rounded-br-md"">9694035115258</td>
</tr>
</tbody>
</table>";36000;;;;DELTA PLUS,MOSQUETON,MOSQUETON ALUMINIO;1
845857;true;;;;;845857;DELTA PLUS;;;;;;113;;1;1;100000;CRIQUET 5TN 50MM X 6MT ESLINGAR;<p>CRIQUET 5TN 50MM X 6MT ESLINGAR</p>;114200;;;;CRIQUET,CRIQUET PARA CARGA,ESLINGAR,CATRACA,DELTA PLUS;1
